商品編號,商品名稱,分類,品牌,價格,原價,評分,評論數,庫存,出貨地,免運,標籤
P027,筆電增高散熱架,辦公用品,桌面研究所,499,650,4.7,731,41,臺中,是,護頸
P028,多孔快充延長線,辦公用品,安心電力,759,920,4.8,1082,17,新竹,是,快充
P029,護腕滑鼠墊,辦公用品,桌面研究所,259,320,4.4,348,69,臺南,否,舒適
P030,桌上型收納抽屜,辦公用品,整理日常,399,480,4.3,275,53,彰化,是,收納
P031,抗藍光眼鏡,辦公用品,清晰視界,580,750,4.2,421,28,臺北,是,護眼
P032,番茄鐘計時器,辦公用品,效率玩家,349,420,4.6,559,47,高雄,是,專注
P033,不鏽鋼保溫杯,居家生活,日日好物,499,650,4.8,963,39,臺中,是,保溫
P034,摺疊晴雨傘,居家生活,島嶼日常,379,450,4.5,782,55,新北,是,防曬
P035,除濕防霉盒十入,居家生活,乾爽之家,299,360,4.4,654,108,基隆,是,雨季
P036,香氛擴香組,居家生活,慢活香氣,450,550,4.7,519,21,臺南,是,療癒
P037,可水洗除塵拖把,居家生活,整理日常,329,399,4.3,337,72,彰化,否,清潔
P038,真空壓縮袋八入,居家生活,整理日常,269,330,4.6,608,61,桃園,是,換季
P039,USB充電小夜燈,居家生活,日日好物,219,280,4.5,445,84,新竹,否,租屋
P040,記憶棉坐墊,居家生活,舒適研究所,599,750,4.7,714,30,臺中,是,久坐
P041,高蛋白能量棒,運動健康,動力補給,399,480,4.6,582,44,高雄,是,健身
P042,瑜珈彈力帶組,運動健康,輕鬆動,299,380,4.5,496,58,臺北,是,居家運動
P043,智慧計步手環,運動健康,動力科技,990,1290,4.3,821,23,新竹,是,計步
P044,防滑瑜珈墊,運動健康,輕鬆動,699,850,4.7,677,35,臺中,是,瑜珈
P045,運動速乾毛巾,運動健康,動力補給,199,250,4.4,303,96,臺南,否,吸汗
P046,筋膜按摩球三入,運動健康,舒展日常,259,320,4.6,539,42,新北,是,放鬆
P047,不鏽鋼啞鈴組,運動健康,力氣工坊,1280,1580,4.8,412,12,彰化,是,重訓
P048,低糖電解質粉,運動健康,動力補給,349,420,4.5,364,66,高雄,是,補水
P049,編織充電線二入,手機周邊,電力滿格,299,390,4.7,1398,112,新北,是,耐用
P050,磁吸手機支架,手機周邊,行動日常,359,450,4.5,876,74,臺中,是,追劇
P051,萬用手機掛繩,手機周邊,行動日常,199,250,4.3,524,91,臺南,否,旅行
P052,迷你行動電源,手機周邊,電力滿格,790,990,4.6,1105,33,桃園,是,輕巧
P053,藍牙自拍遙控器,手機周邊,旅行玩家,189,230,4.2,369,86,臺北,否,拍照
P054,防水手機袋,手機周邊,旅行玩家,249,320,4.4,647,59,高雄,是,玩水
P055,手機鏡頭清潔組,手機周邊,清晰視界,159,199,4.5,281,120,新竹,否,清潔
P056,折疊桌面手機架,手機周邊,桌面研究所,279,350,4.7,935,48,彰化,是,視訊
P057,城市通勤後背包,通勤旅行,島嶼旅行,1190,1490,4.8,735,18,臺北,是,防潑水
P058,行李箱收納袋組,通勤旅行,旅行玩家,499,620,4.6,628,37,新北,是,收納
P059,頸枕眼罩旅行組,通勤旅行,舒適研究所,399,490,4.5,484,52,桃園,是,睡眠
P060,防盜證件隨身包,通勤旅行,島嶼旅行,459,580,4.7,391,29,臺中,是,防盜
P061,輕量折疊購物袋,通勤旅行,日日好物,199,260,4.4,572,95,臺南,否,環保
P062,機車防水手套,通勤旅行,雨天騎士,349,430,4.6,668,43,基隆,是,防水
P063,反光安全雨衣,通勤旅行,雨天騎士,599,750,4.8,793,25,宜蘭,是,安全
P064,隨身電子行李秤,通勤旅行,旅行玩家,329,410,4.5,346,57,高雄,是,出國
P065,Python入門圖解書,學習進修,學習充電站,520,650,4.9,1267,31,臺北,是,程式設計
P066,資料分析練習卡,學習進修,學習充電站,299,380,4.7,483,54,臺中,是,面試
P067,英文單字記憶卡,學習進修,每日進步,249,320,4.5,374,76,臺南,否,語言
P068,空白筆記本三入,學習進修,紙上日常,219,270,4.6,516,89,彰化,是,筆記
P069,線上課程規劃手帳,學習進修,每日進步,359,450,4.8,607,42,新竹,是,自律
P070,面試問題整理本,學習進修,職涯補給,279,350,4.7,442,63,新北,是,求職
P071,簡報設計範例集,學習進修,職涯補給,450,560,4.6,329,34,高雄,是,簡報
P072,證照考試倒數日曆,學習進修,每日進步,199,250,4.4,291,81,桃園,否,證照
